Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score,Knowledge,Knowledge%,Study_Aid,Study_Aid%,Parental_Engagement,Parental_Engagement%,Engagement,Engagement%
0.5116279069767442,0.6,1,3,-1,0.5,0.46,1,1,0.0,1,2.0,-1,3,0.5,-1,1.0,1.0,-1,67,0.23534883720930236,0.26,0.0,0.0,1.0,0.11,0.30697674418604654,0.38
0.4186046511627907,0.1,1,2,-1,0.6666666666666666,0.18,1,1,0.25,2,2.0,-1,1,0.6666666666666666,-1,2.0,2.0,1,61,0.07534883720930233,0.08,0.5,0.19,2.0,0.22,0.041860465116279076,0.05
0.5348837209302325,0.95,2,2,1,0.5,0.82,2,1,0.25,2,2.0,-1,2,0.6666666666666666,-1,3.0,1.0,-1,74,0.4386046511627906,0.48,0.5,0.19,6.0,0.67,0.5081395348837209,0.62
0.6511627906976745,0.725,1,2,1,0.6666666666666666,0.96,2,1,0.125,2,2.0,-1,1,0.6666666666666666,-1,1.0,2.0,-1,71,0.6251162790697674,0.68,0.25,0.1,1.0,0.11,0.472093023255814,0.58
0.4186046511627907,0.8,2,2,1,0.3333333333333333,0.3,2,1,0.375,2,3.0,-1,2,0.6666666666666666,-1,2.0,1.0,1,70,0.12558139534883722,0.14,0.75,0.29,4.0,0.44,0.3348837209302326,0.41
0.4186046511627907,0.7,2,2,1,0.6666666666666666,0.78,2,1,0.375,2,2.0,-1,3,0.5,-1,3.0,1.0,-1,71,0.3265116279069768,0.36,0.75,0.29,6.0,0.67,0.2930232558139535,0.36
0.6511627906976745,0.6,2,1,1,0.5,0.36,1,1,0.125,1,2.0,1,2,0.3333333333333333,-1,1.0,2.0,-1,67,0.2344186046511628,0.26,0.125,0.05,2.0,0.22,0.39069767441860465,0.48
0.5581395348837209,0.45,1,3,1,0.3333333333333333,0.0,2,1,0.125,3,3.0,-1,1,0.3333333333333333,-1,1.0,3.0,-1,66,0.0,0.0,0.375,0.14,1.0,0.11,0.25116279069767444,0.31
0.3720930232558139,0.85,2,3,-1,0.3333333333333333,0.6,3,1,0.0,2,1.0,1,2,0.1666666666666666,-1,2.0,1.0,-1,69,0.22325581395348834,0.24,0.0,0.0,4.0,0.44,0.3162790697674418,0.39
0.5116279069767442,0.95,2,2,1,0.6666666666666666,0.42,2,1,0.0,3,3.0,-1,3,0.8333333333333334,-1,1.0,2.0,-1,72,0.21488372093023256,0.23,0.0,0.0,2.0,0.22,0.48604651162790696,0.59
0.3720930232558139,0.5,1,3,-1,0.6666666666666666,0.76,2,-1,0.5,2,3.0,1,2,0.6666666666666666,-1,2.0,2.0,-1,68,0.28279069767441856,0.31,1.5,0.57,2.0,0.22,0.18604651162790695,0.23
0.3720930232558139,0.925,2,3,1,0.3333333333333333,0.74,1,1,0.25,1,3.0,1,2,0.3333333333333333,-1,1.0,1.0,-1,71,0.27534883720930226,0.3,0.75,0.29,2.0,0.22,0.3441860465116279,0.42
0.4651162790697674,0.575,2,2,1,0.6666666666666666,0.94,1,1,0.25,2,2.0,-1,3,0.6666666666666666,-1,1.0,1.0,-1,70,0.4372093023255813,0.48,0.5,0.19,2.0,0.22,0.2674418604651162,0.33
0.1860465116279069,0.55,2,2,1,0.6666666666666666,0.44,2,1,0.25,2,2.0,1,3,0.5,-1,3.0,1.0,-1,66,0.08186046511627904,0.09,0.5,0.19,6.0,0.67,0.1023255813953488,0.13
0.2093023255813953,0.45,2,3,1,0.6666666666666666,0.48,2,1,0.125,1,2.0,1,2,0.6666666666666666,-1,3.0,1.0,-1,65,0.10046511627906975,0.11,0.375,0.14,6.0,0.67,0.09418604651162789,0.12
0.3720930232558139,0.2,2,2,-1,0.6666666666666666,0.4,2,1,0.25,2,2.0,1,3,0.6666666666666666,-1,1.0,1.0,1,64,0.14883720930232555,0.16,0.5,0.19,2.0,0.22,0.07441860465116278,0.09
0.3023255813953488,0.0,2,1,1,1.0,0.3,1,1,0.0,3,2.0,1,3,0.5,-1,2.0,1.0,-1,60,0.09069767441860464,0.1,0.0,0.0,4.0,0.44,0.0,0.0
0.4883720930232558,0.25,1,2,1,0.3333333333333333,0.64,2,1,0.125,1,3.0,-1,2,0.5,-1,1.0,1.0,1,65,0.3125581395348837,0.34,0.25,0.1,1.0,0.11,0.12209302325581395,0.15
0.3255813953488372,0.5,2,2,1,0.8333333333333334,0.82,1,1,0.375,1,2.0,-1,3,0.3333333333333333,-1,2.0,2.0,1,67,0.26697674418604644,0.29,0.75,0.29,4.0,0.44,0.1627906976744186,0.2
0.2558139534883721,0.375,2,3,1,0.5,0.16,2,1,0.375,2,2.0,1,3,0.6666666666666666,-1,2.0,1.0,-1,66,0.04093023255813954,0.04,1.125,0.43,4.0,0.44,0.09593023255813954,0.12
0.6511627906976745,0.45,2,2,-1,0.1666666666666666,0.98,3,1,0.0,3,2.0,-1,1,0.1666666666666666,-1,1.0,2.0,1,69,0.638139534883721,0.7,0.0,0.0,2.0,0.22,0.2930232558139535,0.36
0.4186046511627907,0.975,2,3,-1,0.3333333333333333,0.68,2,1,0.125,2,3.0,-1,2,0.5,-1,1.0,1.0,-1,72,0.2846511627906977,0.31,0.375,0.14,2.0,0.22,0.40813953488372096,0.5
0.4418604651162791,0.35,2,3,-1,0.6666666666666666,0.78,1,1,0.125,2,2.0,-1,1,0.3333333333333333,-1,2.0,2.0,1,66,0.3446511627906977,0.38,0.375,0.14,4.0,0.44,0.15465116279069765,0.19
0.2325581395348837,0.45,3,2,1,0.6666666666666666,1.0,3,1,0.125,1,2.0,-1,2,0.5,-1,1.0,2.0,-1,66,0.2325581395348837,0.25,0.25,0.1,3.0,0.33,0.10465116279069767,0.13
0.3720930232558139,0.125,1,3,1,0.1666666666666666,0.5,2,1,0.25,1,2.0,-1,3,0.5,-1,1.0,1.0,1,63,0.18604651162790695,0.2,0.75,0.29,1.0,0.11,0.04651162790697674,0.06
0.4651162790697674,0.05,3,1,1,0.3333333333333333,0.08,3,1,0.0,3,3.0,-1,3,0.5,-1,3.0,3.0,-1,64,0.03720930232558139,0.04,0.0,0.0,9.0,1.0,0.023255813953488372,0.03
